"# of Use","# of Use"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s and above"
"Product links API (related, cross sells, up sells)","Sản phẩm kết nối API (related, cross sells, up sells)"
"Product name","Tên sản phẩm"
"Product types API","Loại sản phẩm API"
"Product with this combination of attributes already associated to configurable.","Sản phẩm với thuộc tính kết hợp đã kết hợp vào sản phẩm configgurable."
"Products","Sản phẩm"
"Products Comparison List","Liệt kê sản phẩm Comparison "
"Products Information","Thông tin sản phẩm"
"Products Reviews","Xem lại sản phẩm"
"Products Sitemap","Products Sitemap"
"Products only","Chỉ có sản phẩm"
"Products per Page on Grid Allowed Values","Giá trị được chấp nhận trên grid của mỗi sản phẩm trên trang"
"Products per Page on Grid Default Value","Giá trị được chấp nhận trên grid của mỗi sản phẩm trên trang"
"Products per Page on List Allowed Values","Giá trị được chấp nhận trên grid của mỗi sản phẩm trên trang"
"Products per Page on List Default Value","Giá trị được chấp nhận trên grid của mỗi sản phẩm trên trang"
"Properties","Thuộc tính"
"Qty","Số lượng"
"Qty Increments","Tăng số lượng"
"Qty Uses Decimals","Số lượng dùng thập phân"
"Qty for Item\'s Status to Become Out of Stock","Qty for Item\'s Status to Become Out of Stock"
"Qty:","Số lượng:"
"Quantity","Số lượng"
"Quick Create","Tạo nhanh"
"Quick Overview","Xem tổng thể"
"Quick simple product creation","Tạo nhanh sản phẩm đơn"
"Records for ""","Records for """
"Redirect","Chuyển hướng"
"Redirect URL","Chuyển hướng URL"
"Regular Price:","Giá bình thường:"
"Related Products","Sản phẩm Related"
"Remove","Gỡ bỏ"
"Remove Product From Websites","Gỡ bỏ sản phẩm từ Websites"
"Remove This Item","Gỡ bỏ Item này"
"Remove attribute from attribute set","Gỡ bỏ thuộc tính từ tập thuộc tính"
"Remove attribute set","Gỡ bỏ tập thuộc tính"
"Remove custom option","Gỡ bỏ tùy chọn"
"Remove group from attribute set","Gỡ bỏ nhóm từ tập thuộc tính"
"Remove option","Gỡ bỏ tùy chọn"
"Remove product assignment","Remove product assignment"
"Remove product image","Gỡ bỏ hình ảnh sản phẩm"
"Remove product link","Gỡ bỏ liên kết sản phẩm"
"Remove value from custom option","Gỡ bỏ giá trị từ tùy chọn"
"Rename existing group","Sửa lại tên nhóm"
"Rename group","Sửa lại tên nhóm"
"Reorganize EAV category structure to flat structure","Tổ chức lại danh mục EAV thành cấu trúc flat"
"Reorganize EAV product structure to flat structure","Tổ chức lại cấu trúc sản phẩm EAV thành cấu trúc flat"
"Reset","Phục hồi"
"Results","Kết quả"
"Retrieve attribute data","Lấy dữ liêu thuộc tính"
"Retrieve attribute list","Lấy tất cả thuộc tính "
"Retrieve attribute options","Lấy tùy chọn thuộc tính"
"Retrieve categories tree","Lấy cây danh mục"
"Retrieve category attributes","Lấy thuộc tính danh mục"
"Retrieve category data","Lấy dữ liệu danh mục"
"Retrieve hierarchical tree","Lấy nhánh cây thư mục"
"Retrieve linked products","Lấy liên kết sản phẩm"
"Retrieve list of assigned products","Lấy danh sách sản phẩm được gán"
"Retrieve list of option values","Lấy danh sách giá trị tùy chọn"
"Retrieve list of product custom options","Lấy danh sách tùy chọn sản phẩm"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve option value info","Lấy thông tin giá trị tùy chọn"
"Retrieve product","Lấy sản phẩm"
"Retrieve product attribute sets","Lấy tập thuộc tính sản phẩm"
"Retrieve product image","Lấy hình ảnh sản phẩm"
"Retrieve product image list","Lấy danh sách hình ảnh sản phẩm"
"Retrieve product image types","Lấy lọai hình ảnh sản phẩm"
"Retrieve product link type attributes","Lấy sản phẩm kết nối lọai thuộc tính"
"Retrieve product link types","Lấy sản phẩm kết nối tới lọai"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Lấy lọai sản phẩm"
"Retrieve products data","Lấy dữ liệu sản phẩm"
"Retrieve products list by filters","Lấy danh sách sản phẩm bằng cách lọc"
"Reviews","Xem lại"
"Roll Over for preview","Cuộn qua để xem trước"
"Root","Gốc"
"SKU","SKU"
"SKU length should be %s characters maximum.","Độ sài SKU là %s tối đa ký tự."
"Save","Lưu"
"Save Attribute","Lưu thuộc tính"
"Save Attribute Set","Lưu tập thuộc tính"
"Save Category","Lưu danh mục "
"Save Search","Lưu tìm kiếm"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Saved %d record(s)","Lưu %d mẫu tin"
"Scope","Phạm vi"
"Scope must not be changed, because the attribute is used in configurable products.","Phạm vi không được thay đổi, bởi vì thuộc tính được dùng trong sản phẩm configurable ."
"Search","Tìm kiếm"
"Search Engine Optimizations","Tối ưu hóa việc tìm kiếm"
"Search Information","Tìm thông tin"
"Search Query","Tìm câu truy vấn"
"Search Term with such search query already exists.","Điều kiện tìm kiếm ở câu truy vấn tìm kiếm này đã tồn tại."
"Searchable","Searchable"
"See price before order confirmation.","Xem bảng giá trước khi xác nhận đặt hàng."
"Select Category...","Chọn danh mục..."
"Select Configurable Attributes ","Chọn thuộc tính Configurable "
"Select Product...","Chọn sản phẩm..."
"Select type of option","Chọn lọai tùy chọn"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Chọn lọai sản phẩm"
"Selected configuration is not available.","Cấu hình được chọn thì không có."
"Send Count","Send Count"
"Set Ascending Direction","Thiết lập theo chiều tăng dần"
"Set Descending Direction","Thiết lập theo chiều tăng dần"
"Set Name","Thiết lập tên"
"Set Root Category for Store","Thiết lập danh mục gốt cho store"
"Set root category for this store in the <a href=""%s"">configuration</a>","Thiết lập danh mục gốc cho store trong <a href=""%s"">cấu hình</a>"
"Set special price","Thiết lập giá đặc biệt"
"Set/Get current store view","Gán/lấy store view hiện tại"
"Settings","Thiết lập"
"Shop By","Shop By"
"Shopping Options","Tùy chọn mua hàng"
"Show","Hiển thị"
"Show Details","Hiển thị chi tiết"
"Show Tags","Hiển thị Tags"
"Simple Product","Sản phẩm đơn"
"Site Map","Site Map"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Bỏ qua dòng nhập, giá trị không đúng ""%s"" cho trường ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Bỏ qua dòng nhập, Trường được yêu cầu ""%s"" cho khách hàng mới không được xác định."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Bỏ qua dòng nhập, giá trị ""%s"" không đúng ở trường ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Bỏ qua dòng nhập, trường được yêu cầu ""%s"" cho sản phẩm mới không được xác định."
"Skipping import row, required field ""%s"" is not defined.","Bỏ qua dòng nhập, trường được yêu câù ""%s"" không được xác định."
"Skipping import row, store ""%s"" field does not exist.","Bỏ qua dòng nhập, store ""%s"" trường không tồn tại."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Bỏ qua dòng nhập, giá trị ""%s"" không đúng ở trường ""%s"" ."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Một vài sản phẩm không có giá trị SKU được định nghĩa. Xin vui lòng hòan thành trước khi thực hiện hành động trên sản phẩm này."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Một vài sản phẩm bên dưới không có tất cả tùy chọn được yêu cầu. Xin vui lòng sửa nó và cấu hình tất cả tùy chọn được yêu cầu."
"Sort By","Sắp xếp bởi"
"Sort Order","Sắp xếp theo thứ tự"
"Source Model","Source Model"
"Special Expires On: %s","Hết hạn đặc biệt vào : %s"
"Special Price:","Giá đặc biệt:"
"Special Price: %s",":Giá đặc biệt %s"
"Starting at:","Bắt đầu ở:"
"Static","Static"
"Static block and products","Static block và sản phẩm"
"Static block only","Chỉ là Static block"
"Status","Trạng thái"
"Stock Availability","Stock Availability"
"Store","Store"
"Store View","Store View"
"Stretch","Stretch"
"Subscribe to RSS Feed","Đăng ký RSS Feed"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","Synonym For"
"System Properties","Thuộc tính hệ thống"
"Tag Name","Tên Tag"
"Tax","Thuế"
"Template","Template"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The attribute model is not defined","Kiểu thuộc tính không được định nghĩa"
"The attribute set has been saved.","Tập thuộc tính đã được lưu."
"The base directory to upload file is not specified.","Thư mục Upload file không được xác định."
"The category has been deleted.","Danh mục đã bị xóa."
"The category has been saved.","Danh mục đã được lưu."
"The comparison list was cleared.","Danh mục comparison đã được xóa."
"The file '%s' for '%s' has an invalid extension","File '%s' mà '%s' có phần mở rộng sai"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","File '%s' mà bạn đã uploaded lớn hơn %s Megabytes Được cho phép bởi server"
"The file you uploaded is larger than %s Megabytes allowed by server","File mà bạn đã uploaded lớn hơn %s Megabytes Được cho phép bởi server"
"The filters must be an array.","Filters phải là một mảng."
"The image contents is not valid base64 data.","File hình ảnh này không đúng dữ liệu base64."
"The image is not specified.","Hình ảnh không được xác định."
"The model collection resource name is not defined.","Tên resource collection không được định nghĩa."
"The product %s has been added to comparison list.","Sản phẩm %s đã được thêm vào danh sách comparison."
"The product %s has been removed from comparison list.","Sản phẩm %s đã được gỡ bỏ từ danh sách comparison."
"The product attribute has been deleted.","Thuộc tính sản phẩm đã được xóa."
"The product attribute has been saved.","Thuộc tính sản phẩm đã được lưu."
"The product has been created.","Sản phẩm đã được tạo."
"The product has been deleted.","Sản phẩm đã bị xóa."
"The product has been duplicated.","Sản phẩm đã được nhân đôi."
"The product has been saved.","Sản phẩm đã được lưu."
"The product has required options","Sản phẩm có tùy chọn được yêu cầu"
"The review has been deleted","Review đã được xóa"
"The review has been saved.","Review đã được lưu."
"The review was removed by another user or does not exist.","Review đựoc gỡ bỏ bởi người dùng khác hoặc không tồn tại."
"The search was deleted.","Tìm kiếm đã được xóa."
"The text is too long","Chữ quá dài"
"There are no %s available.","Không có sẳn %s."
"There are no customers for this alert","Không có khách hàng cho cái khuyến cáo này"
"There are no customers for this alert.","Không có khách hàng cho cái khuyến cáo này."
"There are no products matching the selection.","Không có sản phẩm phù hợp được chọn."
"There was an error while request processing.","Không có lỗi khi yêu cầu xử lý."
"This Attribute no longer exists","Thuộc tính này không tồn tại nữa"
"This attribute cannot be deleted.","Thuộc tính này không thể bị xóa."
"This attribute cannot be edited.","Thuộc tính này không thể được sửa."
"This attribute cannot be updated.","Thuộc tính này không thể cập nhật được."
"This attribute is used in configurable products.","Thuộc tính này được dùng cho sản phẩm configurable."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Thuộc tính này được dùng cho sản phẩm configurable. Bạn không thể gỡ bỏ nó từ tập thuộc tính."
"This attribute no longer exists","Thuộc tính này không tồn tại nữa"
"This attribute set no longer exists.","Tập thuộc tính không tồn tại nữa."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Nhóm này chứa thuộc tính cho sản phẩm configurable.  Xin vui lòng di chuyển những thuộc tính này tới nhóm khác và thử lại."
"This group contains system attributes. Please move system attributes to another group and try again.","Nhóm này chứa thuộc tính hệ thống. Xin vui lòng di chuyển thuộc tính hệ thống này tới nhóm khác và thử lại."
"This is a required option","Đây là tùy chọn được yêu cầu"
"This product no longer exists.","Sản phẩm này không tồn tại."
"This search no longer exists.","Tìm kiếm này không tồn tại ."
"This setting will be applied when all prices in the specific price interval are equal.","Thiết lập này sẽ được thực thi khi tất cả giá bên trong một giá cụ thể bằng nhau."
"Tier Pricing","Giá Tier"
"Tile","Tựa đề"
"Time Format","Định dạng giờ"
"Title","Tựa đề"
"To reindex the enabled product(s), the store or product must be specified","Reindex để kích họat sản phẩm, store hoặc sản phẩm phải được xác định. "
"To see product price, add this item to your cart. You can always remove it later.","Để xem được giá, thêm item này vào giỏ hàng. Bạn có thể gỡ bỏ nó sau."
"Top/Left","Top/Left"
"Top/Right","Top/Right"
"Total Qty Base Items","Tổng số lượng dựa trên Items"
"Total incl. Tax: %1$s","Tổng cộng bao gồm thuế: %1$s"
"Total of %d record(s) have been deleted.","Tổng cộng %d mẫu tin đã được xóa."
"Total of %d record(s) have been updated.","Tổng cộng %d mẫu tin đã được cập nhật."
"Total of %d record(s) were updated","Tổng cộng %d mẫu tin đã được cập nhật"
"Type","Lọai"
"URL Rewrite Management","Quản lý URL Rewrite"
"Unable to complete this request.","Không thể hòan thành yêu cầu này."
"Unable to find a search term to delete.","Không thể tìm một thuật ngữ tìm kiếm để xóa."
"Unable to find an attribute to delete."," Không thể tìm một thuộc tính để xóa."
"Unable to get the product ID.","Không thể lấy ID sản phẩm."
"Unassigned Attributes","Không gán thuộc tính"
"Unknown EAV indexer type ""%s"".","Lọai indexer EAV không xác định ""%s""."
"Unknown attribute: %s.","Thuộc tính không xác định: %s."
"Unsupported product type ""%s"".","Không hổ trợ lọai sản phẩm ""%s""."
"Up-sells","Sản phẩm sắp bán"
"Update","Cập nhật"
"Update Attributes","Cập nhật thuộc tính"
"Update Tier Price","Cập nhật giá Tier"
"Update assigned product","Cập nhật sản phẩm được gán"
"Update attribute","Cập nhật thuộc tính"
"Update attributes","Cập nhật nhiều thuộc tính"
"Update category","Cập nhật danh mục"
"Update custom option of product","Cập nhật tùy chọn của sản phẩm"
"Update product","Cập nhật sản phẩm"
"Update product image","Cập nhật hình ảnh sản phẩm"
"Update product link","Cập nhât kết nối sản phẩm"
"Update product tier prices","Cập nhật giá Tier"
"Update value of custom option","Cập nhật giá trị của tùy chọn"
"Upload new product image ","Upload hình ảnh mới "
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Use Categories Path for Product URLs","Dùng đường dẫn danh mục cho URLs của sản phẩm"
"Use Config Settings","Dùng thiết lập cấu hình"
"Use Default Value","Dùng giá trị mặc định"
"Use Flat Catalog Category","Dùng danh mục Flat Catalog"
"Use Flat Catalog Product","Dùng sản phẩm Flat Catalog"
"Use In Layered Navigation","Dùng Layered Navigation"
"Use In Search Results Layered Navigation","Dùng Layered Navigation tìm kiếm kết quả"
"Use JavaScript Calendar",Dùng lịch Javascript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"Use To Create Configurable Product","Dùng để tạo ra sản phẩm Configurable "
"Use Tree Like Category Sitemap","Dùng cây thư mục giống như là danh mục Sitemap"
"Use config","Dùng cấu hình"
"Use default","Dùng mặc định"
"Use for Promo Rule Conditions","Use for Promo Rule Conditions"
"Use four-digit year format.","Use four-digit year format."
"Use in Advanced Search","Dùng tìm kiếm nâng cao"
"Use in Layered Navigation","Dùng cho Layered Navigation"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Dùng ở Layered Navigation<br/>(Chỉ có dùng lọai input catalog là 'Dropdown')"
"Use in Quick Search","Dùng tìm kiếm nhanh"
"Used for Sorting in Product Listing","Được dùng cho sắp xếp danh sách sản phẩm"
"Used in Product Listing","Được dùng cho danh sách sản phẩm"
"Value for ""%s"" is invalid.","Giá trị ""%s"" không đúng."
"Value for ""%s"" is invalid: %s","Giá trị ""%s"" không đúng: %s"
"Varchar","Varchar"
"View as","Hiển thị như là"
"Virtual Product","Sản phẩm Virtual"
"Visibility","Visibility"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible on Catalog Pages on Front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Watermark"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark Position","Watermark Position"
"We Also Recommend","Chúng tôi cũng đã đề nghị"
"Website","Website"
"Websites","Websites"
"What's this?","Cái này là cái gì?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","If hiển thị tùy chọn là ""All"" trong dropdown ""Show X Per Page""."
"Will make search for the query above return results for this search.","Viết một câu truy vấn trên để trả về kết quả cho việc tìm kiếm này."
"Wrong BuyRequest instance in options group.","Sai thể hiện yêu cầu mua bán trong nhóm tùy chọn."
"Wrong configuration item instance in options group.","Sai mục cầu hình thể hiện trong nhóm tùy chọn."
"Wrong configuration item option instance in options group.","Sai mục cấu hình tùy chọn thể hiện trong nhóm tùy chọn."
"Wrong option instance type in options group.","Sai lọai thể hiện tùy chọn trong nhóm tùy chọn."
"Wrong option type to get group instance.","Sai lọai tùy chọn để lấy ra thể hiện nhóm."
"Wrong product instance type in options group.","Sai lọai thể hiện sản phẩm trong nhóm tùy chọn."
"Wrong product type filter specified","Sai lọai sản phẩm được xác định để filter"
"Wrong product type to extract configurable options.","Sai lọai sản phẩm để trích xuất tùy chọn cấu hình."
"Year Range","Year Range"
"Yes","Yes"
"You cannot remove system attribute from this set.","Bạn không thể gỡ bỏ thuộc tính hệ thống từ thiết lập này."
"You have no items to compare.","Bạn không có sản phẩm để so sánh."
"You may also be interested in the following product(s)","Bạn có thể sẽ thích những sản phẩm sau đây"
"Zoom In","Phóng nhỏ"
"Zoom Out","Phóng bự"
"and","và"
"and above","Và phía trên"
"categories","Danh mục"
"each","Mỗi"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","Để trống nếu không có hình ảnh"
"per page","Mỗi trang"
"products","Sản phẩm"
"px.","px."
"save","Lưu"
"select all","Chọn tất cả"
"unselect all","Không chọn tất cả"
"x","x"
